timestamp,value1,value2,value3,value4,value5
2nd October 2019,"[b'\\U0001f60d', b'\\U0001f60e', b'\\U0001f606', b'\\U0001f913', b'\\U0001f917']"

1st October 2019,"[b'\\U0001f607', b'\\u2744', b'\\U0001f917', b'\\U0001f618', b'\\U0001f91e']"

30th September 2019,"[b'\\U0001f60d', b'\\U0001f602', b'\\U0001f917', b'\\U0001f607', b'\\U0001f436']"

29th September 2019,"[b'\\U0001f60e', b'\\U0001f609', b'\\U0001f643', b'\\U0001f60d', b'\\U0001f61d']"

28th September 2019,"[b'\\U0001f426', b'\\U0001f607', b'\\U0001f984', b'\\U0001f480', b'\\U0001f618']"

27th September 2019,"[b'\\U0001f913', b'\\U0001f60d', b'\\U0001f917', b'\\U0001f609', b'\\U0001f61c']"

26th September 2019,"[b'\\U0001f607', b'\\U0001f911', b'\\U0001f617', b'\\U0001f608', b'\\U0001f634']"

25th September 2019,"[b'\\U0001f600', b'\\U0001f60d', b'\\U0001f421', b'\\U0001f618', b'\\U0001f619']"

24th September 2019,"[b'\\U0001f409', b'\\U0001f354', b'\\U0001f984', b'\\U0001f47d', b'\\U0001f60e']"

23rd September 2019,"[b'\\U0001f3f3\\U0001f308', b'\\u2660', b'\\U0001f60d', b'\\u2660', b'\\U0001f3f3\\U0001f308']"

22nd September 2019,"[b'\\u2666', b'\\U0001f349', b'\\U0001f333', b'\\U0001f441', b'\\U0001f4a9']"

21st September 2019,"[b'\\U0001f61c', b'\\U0001f914', b'\\U0001f913', b'\\U0001f911', b'\\U0001f60e']"

20th September 2019,"[b'\\U0001f60d', b'\\U0001f608', b'\\U0001f525', b'\\u2660', b'\\U0001f480']"

19th September 2019,"[b'\\U0001f609', b'\\U0001f642', b'\\U0001f913', b'\\U0001f31e', b'\\U0001f434']"

18th September 2019,"[b'\\U0001f911', b'\\U0001f60e', b'\\U0001f603', b'\\U0001f604', b'\\U0001f606']"

17th September 2019,"[b'\\U0001f60a', b'\\U0001f437', b'\\U0001f984', b'\\U0001f429', b'\\U0001f416']"

16th September 2019,"[b'\\U0001f917', b'\\U0001f61c', b'\\U0001f60d', b'\\U0001f3f3\\U0001f308', b'\\U0001f98b']"

15th September 2019,"[b'\\U0001f363', b'\\u270b', b'\\U0001f459', b'\\u2728', b'\\U0001f3bf']"

14th September 2019,"[b'\\U0001f98a', b'\\U0001f389', b'\\U0001f631', b'\\U0001f64f', b'\\U0001f601']"

13th September 2019,"[b'\\U0001f60d', b'\\U0001f607', b'\\U0001f60e', b'\\U0001f61c', b'\\U0001f643']"

12th September 2019,"[b'\\U0001f917', b'\\U0001f60d', b'\\U0001f618', b'\\U0001f984', b'\\U0001f602']"

11th September 2019,"[b'\\U0001f47d', b'\\U0001f4a9', b'\\U0001f60a', b'\\U0001f60d', b'\\U0001f984']"

10th September 2019,"[b'\\U0001f60d', b'\\u2764', b'\\U0001f98b', b'\\U0001f412', b'\\U0001f4a9']"

9th September 2019,"[b'\\U0001f60d', b'\\U0001f61d', b'\\U0001f602', b'\\U0001f340', b'\\U0001f31c']"

8th September 2019,"[b'\\U0001f913', b'\\U0001f4a9', b'\\U0001f427', b'\\u2600', b'\\U0001f495']"

7th September 2019,"[b'\\U0001f60d', b'\\u2764', b'\\U0001f4a9', b'\\U0001f61a', b'\\U0001f48e']"

6th September 2019,"[b'\\U0001f913', b'\\U0001f914', b'\\U0001f61c', b'\\U0001f601', b'\\U0001f643']"

5th September 2019,"[b'\\U0001f600', b'\\U0001f607', b'\\U0001f618', b'\\U0001f602', b'\\U0001f604']"

4th September 2019,"[b'\\U0001f47b', b'\\U0001f438', b'\\U0001f439', b'\\U0001f412', b'\\U0001f428']"

3rd September 2019,"[b'\\U0001f914', b'\\U0001f4a9', b'\\U0001f426', b'\\U0001f41b', b'\\U0001f33b']"

